Date,AverageTemperature,IsHoliday,Season
2019-09-18,24.7,False,Intermediate
2019-09-19,22.6,False,Intermediate
2019-09-20,19.0,False,Intermediate
2019-09-21,20.5,True,Intermediate
2019-09-22,23.5,True,Intermediate
2019-09-23,26.1,True,Intermediate
2019-09-24,22.3,False,Intermediate
2019-09-25,21.5,False,Intermediate
2019-09-26,22.7,False,Intermediate
2019-09-27,24.8,False,Intermediate
2019-09-28,25.6,True,Intermediate
2019-09-29,25.9,True,Intermediate
2019-09-30,26.0,False,Intermediate
2019-10-01,26.0,False,Intermediate
2019-10-02,25.6,False,Intermediate
2019-10-03,25.2,False,Intermediate
2019-10-04,23.9,False,Intermediate
2019-10-05,22.9,True,Intermediate
2019-10-06,21.8,True,Intermediate
2019-10-07,20.3,False,Intermediate
2019-10-08,20.9,False,Intermediate
2019-10-09,18.4,False,Intermediate
2019-10-10,20.1,False,Intermediate
2019-10-11,24.6,False,Intermediate
2019-10-12,23.6,True,Intermediate
2019-10-13,19.2,True,Intermediate
2019-10-14,20.2,True,Intermediate
2019-10-15,17.1,False,Intermediate
2019-10-16,15.8,False,Intermediate
2019-10-17,16.4,False,Intermediate
2019-10-18,18.8,False,Intermediate
2019-10-19,21.1,True,Intermediate
2019-10-20,18.8,True,Intermediate
2019-10-21,17.3,False,Intermediate
2019-10-22,19.6,True,Intermediate
2019-10-23,18.7,False,Intermediate
2019-10-24,18.2,False,Intermediate
2019-10-25,18.2,False,Intermediate
2019-10-26,19.1,True,Intermediate
2019-10-27,17.9,True,Intermediate
2019-10-28,16.2,False,Intermediate
2019-10-29,15.3,False,Intermediate
2019-10-30,16.0,False,Intermediate
2019-10-31,15.8,False,Intermediate
2019-11-01,16.2,False,Intermediate
2019-11-02,14.9,True,Intermediate
2019-11-03,14.3,True,Intermediate
2019-11-04,14.3,True,Intermediate
2019-11-05,12.1,False,Intermediate
2019-11-06,12.1,False,Intermediate
2019-11-07,12.8,False,Intermediate
2019-11-08,13.5,False,Intermediate
2019-11-09,14.0,True,Intermediate
2019-11-10,13.1,True,Intermediate
2019-11-11,14.1,False,Intermediate
2019-11-12,15.0,False,Intermediate
2019-11-13,14.9,False,Intermediate
2019-11-14,12.9,False,Intermediate
2019-11-15,8.9,False,Heating
2019-11-16,11.3,True,Intermediate
2019-11-17,13.4,True,Intermediate
2019-11-18,15.2,False,Intermediate
2019-11-19,11.3,False,Intermediate
2019-11-20,9.5,False,Heating
2019-11-21,8.8,False,Heating
2019-11-22,9.2,False,Heating
2019-11-23,13.7,True,Intermediate
2019-11-24,12.4,True,Intermediate
2019-11-25,14.3,False,Intermediate
2019-11-26,12.3,False,Intermediate
2019-11-27,12.7,False,Intermediate
2019-11-28,9.2,False,Heating
2019-11-29,6.5,False,Heating
2019-11-30,7.1,True,Heating
2019-12-01,9.3,True,Heating
2019-12-02,12.6,False,Intermediate
2019-12-03,8.1,False,Heating
2019-12-04,7.4,False,Heating
2019-12-05,6.4,False,Heating
2019-12-06,6.5,False,Heating
2019-12-07,6.5,True,Heating
2019-12-08,7.2,True,Heating
2019-12-09,7.1,False,Heating
2019-12-10,7.8,False,Heating
2019-12-11,7.0,False,Heating
2019-12-12,7.9,False,Heating
2019-12-13,5.7,False,Heating
2019-12-14,7.4,True,Heating
2019-12-15,8.0,True,Heating
2019-12-16,6.7,False,Heating
2019-12-17,9.3,False,Heating
2019-12-18,10.8,False,Intermediate
2019-12-19,6.7,False,Heating
2019-12-20,8.2,False,Heating
2019-12-21,6.7,True,Heating
2019-12-22,5.9,True,Heating
2019-12-23,6.6,False,Heating
2019-12-24,7.4,False,Heating
2019-12-25,8.3,False,Heating
2019-12-26,9.3,False,Heating
2019-12-27,7.7,False,Heating
2019-12-28,5.4,True,Heating
2019-12-29,6.0,True,Heating
2019-12-30,9.5,False,Heating
2019-12-31,7.7,False,Heating
2020-01-01,4.8,True,Heating
2020-01-02,6.7,False,Heating
2020-01-03,8.0,False,Heating
2020-01-04,7.3,True,Heating
2020-01-05,6.1,True,Heating
2020-01-06,5.3,False,Heating
2020-01-07,7.1,False,Heating
2020-01-08,11.1,False,Intermediate
2020-01-09,8.4,False,Heating
2020-01-10,7.1,False,Heating
2020-01-11,6.2,True,Heating
2020-01-12,7.0,True,Heating
2020-01-13,6.4,True,Heating
2020-01-14,4.5,False,Heating
2020-01-15,6.0,False,Heating
2020-01-16,4.3,False,Heating
2020-01-17,6.4,False,Heating
2020-01-18,7.4,True,Heating
2020-01-19,5.7,True,Heating
