Date,AverageTemperature,IsHoliday,Season
2019-09-18,26.0,False,Intermediate
2019-09-19,23.9,False,Intermediate
2019-09-20,21.6,False,Intermediate
2019-09-21,22.3,True,Intermediate
2019-09-22,25.2,True,Intermediate
2019-09-23,26.6,True,Intermediate
2019-09-24,23.6,False,Intermediate
2019-09-25,24.2,False,Intermediate
2019-09-26,25.6,False,Intermediate
2019-09-27,26.2,False,Intermediate
2019-09-28,26.1,True,Intermediate
2019-09-29,27.0,True,Cooling
2019-09-30,27.6,False,Cooling
2019-10-01,27.4,False,Cooling
2019-10-02,26.1,False,Intermediate
2019-10-03,24.8,False,Intermediate
2019-10-04,25.2,False,Intermediate
2019-10-05,23.6,True,Intermediate
2019-10-06,22.5,True,Intermediate
2019-10-07,23.1,False,Intermediate
2019-10-08,23.0,False,Intermediate
2019-10-09,20.4,False,Intermediate
2019-10-10,23.3,False,Intermediate
2019-10-11,26.4,False,Intermediate
2019-10-12,22.5,True,Intermediate
2019-10-13,19.2,True,Intermediate
2019-10-14,19.6,True,Intermediate
2019-10-15,18.4,False,Intermediate
2019-10-16,17.7,False,Intermediate
2019-10-17,20.0,False,Intermediate
2019-10-18,21.3,False,Intermediate
2019-10-19,22.0,True,Intermediate
2019-10-20,21.2,True,Intermediate
2019-10-21,19.6,False,Intermediate
2019-10-22,20.7,True,Intermediate
2019-10-23,20.8,False,Intermediate
2019-10-24,19.6,False,Intermediate
2019-10-25,18.5,False,Intermediate
2019-10-26,19.4,True,Intermediate
2019-10-27,19.5,True,Intermediate
2019-10-28,18.5,False,Intermediate
2019-10-29,16.6,False,Intermediate
2019-10-30,17.3,False,Intermediate
2019-10-31,17.8,False,Intermediate
2019-11-01,17.9,False,Intermediate
2019-11-02,16.4,True,Intermediate
2019-11-03,17.1,True,Intermediate
2019-11-04,15.7,True,Intermediate
2019-11-05,14.8,False,Intermediate
2019-11-06,14.6,False,Intermediate
2019-11-07,15.9,False,Intermediate
2019-11-08,15.2,False,Intermediate
2019-11-09,15.2,True,Intermediate
2019-11-10,15.5,True,Intermediate
2019-11-11,16.3,False,Intermediate
2019-11-12,17.0,False,Intermediate
2019-11-13,17.1,False,Intermediate
2019-11-14,14.9,False,Intermediate
2019-11-15,11.8,False,Intermediate
2019-11-16,14.3,True,Intermediate
2019-11-17,15.4,True,Intermediate
2019-11-18,18.2,False,Intermediate
2019-11-19,13.7,False,Intermediate
2019-11-20,10.5,False,Intermediate
2019-11-21,11.3,False,Intermediate
2019-11-22,14.1,False,Intermediate
2019-11-23,16.8,True,Intermediate
2019-11-24,16.4,True,Intermediate
2019-11-25,15.8,False,Intermediate
2019-11-26,13.3,False,Intermediate
2019-11-27,14.2,False,Intermediate
2019-11-28,10.5,False,Intermediate
2019-11-29,8.3,False,Heating
2019-11-30,9.1,True,Heating
2019-12-01,11.6,True,Intermediate
2019-12-02,13.7,False,Intermediate
2019-12-03,9.2,False,Heating
2019-12-04,9.3,False,Heating
2019-12-05,9.0,False,Heating
2019-12-06,7.4,False,Heating
2019-12-07,7.7,True,Heating
2019-12-08,9.5,True,Heating
